iShares Latin America 40 ETF
Fund Holdings as of,"Aug 31, 2026"
Inception Date,"Oct 25, 2001"
Shares Outstanding,"110,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RDOR3","REDE DOR SAO LUIZ SA","Health Care","Equity","40,663,640.40","1.05","40,663,640.40","5,988,351.00","6.79","Brazil","XBSP","USD","5.18","BRL","-"
"LTM","LATAM AIRLINES GROUP","Industrials","Equity","38,949,602.97","1.01","38,949,602.97","1,507,674,215.00","0.03","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"RENT3","LOCALIZA RENT A CAR","Industrials","Equity","34,989,764.38","0.91","34,989,764.38","5,168,947.00","6.77","Brazil","XBSP","USD","5.18","BRL","-"
"GGB","GERDAU SA ADR REPRESENTING PREF","Materials","Equity","34,897,838.30","0.90","34,897,838.30","7,570,030.00","4.61","Brazil","NYSE","USD","1.00","USD","-"
"AC*","ARCA CONTINENTAL","Consumer Staples","Equity","33,634,104.45","0.87","33,634,104.45","2,940,856.00","11.44","Mexico","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"FALABELLA","FALABELLA SACI","Consumer Discretionary","Equity","32,579,792.11","0.84","32,579,792.11","4,922,000.00","6.62","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"BSAC","BANCO SANTANDER CHILE ADR REPRESEN","Financials","Equity","32,118,035.00","0.83","32,118,035.00","924,260.00","34.75","Chile","NYSE","USD","1.00","USD","-"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","28,429,496.94","0.74","28,429,496.94","8,183,294.00","3.47","Mexico","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"FUNO11","FIBRA UNO ADMINISTRACION REIT","Real Estate","Equity","28,197,346.16","0.73","28,197,346.16","16,385,246.00","1.72","Mexico","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","27,270,964.42","0.71","27,270,964.42","27,270,964.00","100.00","United States","-","USD","1.00","USD","-"
