Rating,Industry,Sector,Revenue,cada_hora,empleador,sueldo_min,sueldo_max,sueldo_promedio,titulo,senioridad,python_yn,r_yn,spark_yn,aws_yn,excel_yn,len_desc,compania,estado,HQ,tamano,ano,org,num_comps
3.8,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,68,114,91.0,cientifico de datos,na,1,0,0,0,1,2915,Zimmerman Advertising,FL,1,501-1000 ,36,subsidiary,-1
3.3,Insurance Carriers,Insurance,$10+ billion (USD),0,0,86,143,114.5,cientifico de datos,na,1,0,0,0,0,4244,Liberty Mutual Insurance,MA,1,10000+ ,108,privado,3
4.6,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,41,95,68.0,analysta de datos,na,1,0,0,0,1,1629,"Torch Technologies, Inc.",AL,1,1001-5000 ,18,privado,-1
3.7,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),0,0,86,144,115.0,cientifico de datos,na,1,0,0,0,1,4734,Swiss Re,NY,0,10000+ ,157,publico,3
3.7,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,80,139,109.5,cientifico de datos,na,0,0,0,0,1,4448,Northrop Grumman,CA,0,10000+ ,81,publico,-1
3.5,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,56,95,75.5,cientifico de datos,na,1,0,0,0,1,3543,Sartorius,NM,0,5001-10000 ,150,publico,-1
4.1,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,120,189,154.5,cientifico de datos,na,1,0,1,0,1,4203,Netskope,CA,0,501-1000 ,8,privado,3
4.7,IT Services,Information Technology,Unknown / Non-Applicable,0,0,111,176,143.5,cientifico de datos,na,1,0,1,0,0,5020,1904labs,MO,1,51-200 ,4,privado,2
4.1,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,54,93,73.5,cientifico de datos,na,0,0,0,0,1,1786,ClearOne Advantage,MD,1,501-1000 ,12,privado,-1
3.4,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,71,119,95.0,cientifico de datos,na,1,0,0,1,1,3747,CyrusOne,TX,1,201-500 ,20,publico,3
4.4,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,0,0,82,132,107.0,cientifico de datos,senior,1,0,0,1,0,4804,The David J. Joseph Company,OH,1,201-500 ,135,subsidiary,-1
4.3,Consulting,Business Services,$10 to $25 million (USD),0,0,84,146,115.0,cientifico de datos,na,1,0,1,1,0,1382,USEReady,NY,1,201-500 ,9,privado,-1
