ID_MES,ID_PAIS,ID_CONTINENTE,ID_OCM,NUMERO_VISITANTES
1,112,4,2,19
1,112,4,3,19
1,112,4,4,6
1,112,4,5,11
1,112,4,6,43
1,113,4,1,171
1,113,4,2,4
1,113,4,3,8
1,113,4,4,10
1,113,4,5,2
1,113,4,6,15
1,114,6,1,4
1,114,6,2,0
1,114,6,3,0
1,114,6,4,0
1,114,6,5,0
1,114,6,6,0
1,115,5,1,240
1,115,5,2,8
1,115,5,3,7
1,115,5,4,12
1,115,5,5,15
1,115,5,6,85
1,116,6,1,1
1,116,6,2,0
1,116,6,3,0
1,116,6,4,0
1,116,6,5,0
1,116,6,6,1
1,117,5,1,4
1,117,5,2,0
1,117,5,3,0
1,117,5,4,0
1,117,5,5,0
1,117,5,6,0
1,118,6,1,2
1,118,6,2,0
1,118,6,3,0
1,118,6,4,0
1,118,6,5,0
1,118,6,6,0
1,119,4,1,76
1,119,4,2,0
1,119,4,3,1
1,119,4,4,1
1,119,4,5,0
1,119,4,6,7
1,120,6,1,87
1,120,6,2,1
1,120,6,3,3
1,120,6,4,0
1,120,6,5,2
1,120,6,6,1
1,121,6,1,12
1,121,6,2,0
1,121,6,3,0
1,121,6,4,0
1,121,6,5,0
1,121,6,6,3
1,122,6,1,0
1,122,6,2,0
1,122,6,3,0
1,122,6,4,0
1,122,6,5,0
1,122,6,6,1
1,123,1,1,32496
1,123,1,2,301
1,123,1,3,236
1,123,1,4,110
1,123,1,5,200
1,123,1,6,936
1,124,4,1,8
1,124,4,2,0
1,124,4,3,0
1,124,4,4,0
1,124,4,5,0
1,124,4,6,6
1,125,5,1,57
1,125,5,2,0
1,125,5,3,0
1,125,5,4,0
1,125,5,5,0
1,125,5,6,5
1,126,6,1,17
1,126,6,2,0
1,126,6,3,0
1,126,6,4,0
1,126,6,5,0
1,126,6,6,1
1,127,5,1,37
1,127,5,2,0
1,127,5,3,0
1,127,5,4,0
1,127,5,5,0
1,127,5,6,19
1,128,6,1,0
1,128,6,2,0
1,128,6,3,0
1,128,6,4,0
1,128,6,5,0
1,128,6,6,0
1,129,7,1,0
1,129,7,2,0
1,129,7,3,0
1,129,7,4,0
1,129,7,5,0
1,129,7,6,0
1,130,5,1,23
1,130,5,2,1
1,130,5,3,0
1,130,5,4,0
1,130,5,5,0
1,130,5,6,1
1,131,2,1,395
1,131,2,2,18
1,131,2,3,0
1,131,2,4,0
1,131,2,5,6
1,131,2,6,10
1,132,6,1,0
1,132,6,2,0
1,132,6,3,0
1,132,6,4,0
1,132,6,5,0
1,132,6,6,0
1,133,6,1,28
1,133,6,2,0
1,133,6,3,0
1,133,6,4,0
1,133,6,5,1
1,133,6,6,1
1,134,4,1,1572
1,134,4,2,47
1,134,4,3,76
1,134,4,4,41
1,134,4,5,46
1,134,4,6,161
1,135,7,1,1149
1,135,7,2,28
1,135,7,3,70
1,135,7,4,51
1,135,7,5,41
1,135,7,6,185
1,136,5,1,2
1,136,5,2,0
1,136,5,3,0
1,136,5,4,0
1,136,5,5,0
1,136,5,6,0
1,137,4,1,9213
1,137,4,2,158
